NNP-PRP-VBP, S
DT-NNP-NNP, S
NNP-NNP-NNP, S
NNP-NNP-NNP, S
NNP-NNP-VBN, S
NNP-VBN-RP, S
VBN-RP-NNP, S
NNS-DT-NN, Q
NNP-VBZ-NNP, S
VBZ-NNP-NNP, S
NNP-NNP-NNP, S
NNP-NNP-DT, S
NNP-DT-NN, S
DT-NN-NN, S
NN-NN-NN, S
WP-VBZ-NNP, Q
VBZ-NNP-NNP, Q
WRB-MD-PRP, Q
MD-PRP-VB, Q
PRP-VB-RBR, Q
VB-RBR-NN, Q
RBR-NN-IN, Q
NN-IN-DT, Q
IN-DT-NNP, Q
WP-VBZ-DT, Q
VBZ-DT-NN, Q
MD-PRP-VB, Q
PRP-VB-DT, Q
VB-DT-NNP, Q
DT-NNP-NN, Q
PRP-VBP-RB, S
VBP-RB-VBN, S
RB-VBN-VBG, S
VBN-VBG-DT, S
VBG-DT-NNP, S
DT-NNP-NN, S
NNP-VBZ-JJ, S
VBZ-JJ-IN, S
JJ-IN-NN, S
IN-NN-NNS, S
NNP-VBZ-NNP, S
VBZ-NNP-NNP, S
NNP-NNP-NNP, S
NNP-VBZ-PRP$, C
VBZ-PRP$-NN, C
VB-MD-PRP, Q
MD-PRP-VB, Q
PRP-VB-PRP, Q
VB-PRP-WP, Q
PRP-WP-NNP, Q
WP-NNP-VBZ, Q
PRP-VBP-JJ, C
WRB-VBP-PRP, C
RB-JJ-NN, C
JJ-NN-PRP, C
WRB-VBP-PRP, C
WP-VBZ-DT, Q
VBZ-DT-NN, Q
NNS-JJ-TO, C
JJ-TO-VB, C
PRP-VBP-RB, C
VBP-RB-RB, C
RB-RB-VB, C
RB-VB-PRP, C
DT-NN-VBZ, S
NN-VBZ-VBN, S
VBZ-VBN-IN, S
VBN-IN-VBG, S
IN-VBG-CC, S
VBG-CC-VBG, S
CC-VBG-NNS, S
WP-VBZ-DT, Q
VBZ-DT-NN, Q
DT-NN-NN, Q
NN-NN-IN, Q
NN-IN-DT, Q
IN-DT-NNP, Q
DT-NNP-NN, Q
NNP-NNP-VBZ, S
NNP-VBZ-CD, S
VBZ-CD-IN, S
CD-IN-DT, S
IN-DT-JJ, S
DT-JJ-NN, S
JJ-NN-NNS, S
NN-NNS-IN, S
NNS-IN-DT, S
IN-DT-NNP, S
DT-NNP-NN, S
WRB-MD-VB, Q
MD-VB-CD, Q
VB-CD-VB, Q
CD-VB-VBN, Q
VB-VBN-NNS, Q
NN-CD-MD, S
CD-MD-VB, S
MD-VB-VBN, S
VB-VBN-IN, S
VBN-IN-NNS, S
IN-NNS-NNS, S
NNS-NNS-IN, S
NNS-IN-CD, S
IN-CD-NNP, S
CD-NNP-CD, S
PRP-VBP-DT, S
VBP-DT-NNP, S
DT-NNP-NN, S
NNP-NN-TO, S
NN-TO-NN, S
TO-NN-JJ, S
NN-JJ-NNS, S
JJ-NNS-IN, S
NNS-IN-DT, S
IN-DT-NNP, S
DT-NNP-NN, S
WRB-MD-VB, Q
MD-VB-CD, Q
VB-CD-VB, Q
CD-VB-VBN, Q
WP-VBZ-NNP, Q
VBZ-NNP-NNP, Q
WRB-MD-VB, Q
MD-VB-CD, Q
VB-CD-VB, Q
CD-VB-VBN, Q
WP-VBZ-DT, Q
VBZ-DT-NN, Q
NN-MD-PRP, Q
MD-PRP-VB, Q
PRP-VB-PRP, Q
VB-PRP-WP, Q
PRP-WP-NNP, Q
WP-NNP-NNP, Q
NNP-NNP-VBZ, Q
NN-MD-PRP, Q
MD-PRP-VB, Q
PRP-VB-PRP, Q
VB-PRP-WP, Q
PRP-WP-NNP, Q
WP-NNP-NNP, Q
NNP-NNP-VBZ, Q
WP-VBP-NNS, Q
DT-VBZ-RB, C
VBZ-RB-WP, C
RB-WP-PRP, C
WP-PRP-VBD, C
PRP-VBP-JJ, C
VBP-JJ-NN, C
JJ-NN-PRP, C
NNP-NNP-NNP, S
NNP-NNP-NNP, S
NNP-NNP-VBD, S
NNP-VBD-IN, S
VBD-IN-NN, S
IN-NN-NNS, S
VBP-PRP-DT, Q
PRP-DT-NN, Q
WP-VBZ-DT, Q
VBZ-DT-NN, Q
WP-VBZ-NNP, Q
NNP-NNP-NNP, S
WP-VBZ-NNP, Q
JJ-NNP-NNP, S
IN-DT-NNP, Q
DT-NNP-IN, Q
NNP-IN-NNP, Q
NNP-NNP-VBZ, S
NNP-VBZ-DT, S
VBZ-DT-NNP, S
DT-NNP-IN, S
NNP-IN-NNP, S
VBZ-NNP-DT, Q
NNP-DT-JJ, Q
NNP-NNP-MD, S
NNP-MD-VB, S
MD-VB-IN, S
VB-IN-NNP, S
NNP-VBZ-DT, S
VBZ-DT-NNP, S
DT-NNP-NNP, S
NNP-NNP-NNP, S
NNP-NNP-NNP, S
NNP-NNP-VBZ, S
NNP-VBZ-DT, S
VBZ-DT-NNP, S
DT-NNP-IN, S
NNP-IN-NNP, S
DT-NN-NN, S
NN-NN-IN, S
NN-IN-NNP, S
IN-NNP-NN, S
WRB-VB-PRP, Q
VB-PRP-VB, Q
NNS-IN-VBG, C
IN-VBG-PRP, C
VBG-PRP-IN, C
NNP-NNP-VBZ, S
NNP-VBZ-CD, S
VBZ-CD-IN, S
CD-IN-DT, S
IN-DT-NN, S
DT-NN-NNS, S
NN-NNS-IN, S
NNS-IN-DT, S
IN-DT-NNP, S
DT-NNP-NN, S
NNP-VBG-PRP, C
VBG-PRP-NNS, C
NN-CD-MD, S
CD-MD-VB, S
MD-VB-VBN, S
VB-VBN-IN, S
VBN-IN-DT, S
IN-DT-CD, S
DT-CD-IN, S
CD-IN-NNP, S
DT-NN-VBZ, S
NN-VBZ-VBG, S
VBZ-DT-NN, Q
DT-NN-JJ, Q
DT-NN-VBZ, S
NN-VBZ-IN, S
VBZ-IN-DT, S
IN-DT-NN, S
WP-VBZ-NNP, Q
WRB-VBZ-DT, Q
VBZ-DT-NN, Q
WRB-MD-VB, Q
MD-VB-CD, Q
VB-CD-VB, Q
CD-VB-VBN, Q
VBZ-PRP-VBG, C
NNP-VBZ-PRP, C
VBZ-PRP-VBG, C
NN-CD-NN, S
CD-NN-MD, S
NN-MD-VB, S
MD-VB-VBN, S
VB-VBN-IN, S
VBN-IN-NNP, S
IN-NNP-CD, S
WRB-MD-NNP, Q
MD-NNP-RB, Q
NNP-RB-VBP, Q
RB-VBP-DT, Q
VBP-DT-NN, Q
NNP-VBP-DT, S
VBP-DT-NN, S
DT-NN-NN, S
NN-NN-IN, S
NN-IN-NNP, S
IN-NNP-NNP, S
NNP-VBZ-DT, S
VBZ-DT-JJ, S
DT-JJ-NN, S
JJ-NN-NN, S
NN-NN-IN, S
NN-IN-DT, S
IN-DT-JJ, S
DT-JJ-JJ, S
JJ-JJ-CC, S
JJ-CC-JJ, S
CC-JJ-NN, S
